"cities","month","buildings","usersBuild","tagsBuild","averTagsBuild"
"Ottawa",2016-08-01,23287,215,56562,2.428908833
"Gatineau",2016-08-01,28760,79,164362,5.714951321
"Ott/Gat",2016-08-01,52046,258,220916,4.244629751
"Ottawa",2016-09-30,23889,206,57711,2.415798066
"Gatineau",2016-09-30,28761,79,164408,5.716352004
"Ott/Gat",2016-09-30,52649,249,222111,4.218712606
"Ottawa",2016-10-30,25026,210,61551,2.459482139
"Gatineau",2016-10-30,29127,82,167661,5.756205582
"Ott/Gat",2016-10-30,54152,254,229204,4.232604521
"Ottawa",2016-11-30,26116,177,60880,2.331138
"Gatineau",2016-11-30,29792,97,172679,5.79615333
"Ott/Gat",2016-11-30,55907,234,233551,4.177491191
"Ottawa",2016-12-30,29758,184,71065,2.388097318
"Gatineau",2016-12-30,41732,103,240396,5.760471581
"Ott/Gat",2016-12-30,71489,247,311453,4.356656269
"Ottawa",2017-01-30,43284,204,138110,3.190786434
"Gatineau",2017-01-30,61236,110,359903,5.877310732
"Ott/Gat",2017-01-30,104519,272,498005,4.764731771
"Ottawa",2017-02-28,146880,200,616441,4.196902233
"Gatineau",2017-02-28,69328,106,410499,5.921114124
"Ott/Gat",2017-02-28,216207,264,1026932,4.749762959
"Ottawa",2017-03-28,182225,177,802382,4.40324873096447
"Gatineau",2017-03-28,81446,92,499882,6.13758809517963
"Ott/Gat",2017-03-28,263670,233,1302256,4.93896158076383
"Ottawa",2017-04-13,204484,170,909071,4.44568279180767
"Gatineau",2017-04-13,82303,92,505553,6.1425828949127
"Ott/Gat",2017-04-13,286786,226,1414616,4.93265361628531
